,Team,MatchID,Split No.,Period,Delta Time,Split Reason,Splitting Team,Delta xG,Weakly Connected,Strongly Connected,Average Shortest Path,Radius,Diameter,Eccentricity Mean,Central Node,Average Eigenvector Centrality,Density,Mean Clustering
0,Tottenham Hotspur,22912,0,1,47,game start,,0.06963867,True,True,1.4636363636363636,2,3,2.090909090909091,0,0.2980231631359991,0.5454545454545454,0.48460161951571107
1,Tottenham Hotspur,22912,1,2,16,break,Tottenham Hotspur,0.191625471,True,True,1.6777777777777778,2,3,2.5,1,0.303372704127281,0.3888888888888889,0.3694211061842641
2,Tottenham Hotspur,22912,2,2,33,sub,Liverpool,0.8538907229999999,True,True,1.7912087912087913,2,3,2.7142857142857144,2,0.2619160707942939,0.3131868131868132,0.3033786076079309
3,Liverpool,22912,0,1,45,game start,,0.87634993,True,True,1.6181818181818182,2,3,2.272727272727273,0,0.2927045185761227,0.41818181818181815,0.40322537066723113
4,Liverpool,22912,1,2,16,break,Tottenham Hotspur,0.082593026,True,False,2.011111111111111,Error,Error,Error,Error,0.2758046095153076,0.2222222222222222,0.12555555555555556
5,Liverpool,22912,2,2,33,sub,Liverpool,0.208855491,True,True,2.0727272727272728,3,4,3.5454545454545454,0,0.25957055905626997,0.2818181818181818,0.29313817495635675
6,Real Madrid,18245,0,1,28,game start,,0.041484230999999996,True,True,1.5636363636363637,2,3,2.1818181818181817,0,0.2979399921551147,0.45454545454545453,0.44227628679500336
7,Real Madrid,18245,1,1,18,sub,Real Madrid,0.317319365,True,False,1.5,Error,Error,Error,Error,0.26596797937149835,0.3712121212121212,0.43813864411162634
8,Real Madrid,18245,2,2,18,break,Real Madrid,0.718574641,True,True,1.5833333333333333,2,3,2.25,0,0.2808230218189846,0.4393939393939394,0.4650575258608
9,Real Madrid,18245,3,2,29,goal,Liverpool,0.29047990999999995,True,True,1.9848484848484849,2,4,3.1666666666666665,3,0.2767438359554284,0.3106060606060606,0.45368341632021525
10,Liverpool,18245,0,1,29,game start,,0.6826986150000001,True,True,1.6818181818181819,2,3,2.727272727272727,0,0.2797288423008004,0.4090909090909091,0.440438680610212
11,Liverpool,18245,1,1,15,sub,Real Madrid,0.0,True,False,2.033333333333333,Error,Error,Error,Error,0.2689509843537066,0.2111111111111111,0.2162991452991453
12,Liverpool,18245,2,2,17,break,Real Madrid,0.567224555,True,True,2.9909090909090907,4,8,5.818181818181818,3,0.23072137714197502,0.18181818181818182,0.3399432925748715
13,Liverpool,18245,3,2,30,goal,Liverpool,0.064496818,True,True,1.75,2,3,2.5833333333333335,0,0.27984723397938643,0.3484848484848485,0.3450228619482458
14,Juventus,18244,0,1,19,game start,,0.075956353,True,True,1.7,2,3,2.8181818181818183,3,0.28249812017120485,0.39090909090909093,0.41451287350740157
15,Juventus,18244,1,1,28,goal,Juventus,0.133052371,True,True,1.7363636363636363,2,3,2.5454545454545454,0,0.28740867791652885,0.34545454545454546,0.3332861496948184
16,Juventus,18244,2,2,18,break,Juventus,0.0,True,True,2.1454545454545455,2,5,3.272727272727273,0,0.28660782708246724,0.2727272727272727,0.22486262447562758
17,Juventus,18244,3,2,31,goal,Juventus,0.036131855,True,True,2.0448717948717947,3,4,3.3846153846153846,0,0.2521845890291687,0.26282051282051283,0.3435967490282056
18,Real Madrid,18244,0,1,19,game start,,0.11433406,True,True,1.6818181818181819,2,3,2.4545454545454546,2,0.29182959249720397,0.38181818181818183,0.34159483980205413
19,Real Madrid,18244,1,1,24,goal,Juventus,0.34220322,True,True,1.8,2,4,2.727272727272727,2,0.2891038961219661,0.36363636363636365,0.4406969657075365
20,Real Madrid,18244,2,2,18,break,Juventus,0.346467832,True,True,1.8727272727272728,2,4,2.6363636363636362,0,0.2832280194053371,0.33636363636363636,0.42413495354671826
21,Real Madrid,18244,3,2,29,goal,Juventus,0.69159945,True,True,1.75,2,3,2.5384615384615383,0,0.26784716750921506,0.34615384615384615,0.36638044115830737
22,Real Madrid,18243,0,1,45,game start,,0.8845719969999999,True,True,1.4636363636363636,2,3,2.090909090909091,0,0.29115711154282375,0.5454545454545454,0.5697492595754422
23,Real Madrid,18243,1,2,26,break,Atlético Madrid,0.43021086000000003,True,False,1.7045454545454546,Error,Error,Error,Error,0.2655543886069749,0.29545454545454547,0.32950479436457547
24,Real Madrid,18243,2,2,34,sub,Atlético Madrid,0.805906366,True,True,1.7727272727272727,2,3,2.727272727272727,0,0.28971083851498886,0.36363636363636365,0.3239245322946849
25,Real Madrid,18243,3,4,17,break,Atlético Madrid,0.195748451,True,False,1.7363636363636363,Error,Error,Error,Error,0.26392102945523993,0.3,0.561626816344403
26,Atlético Madrid,18243,0,1,46,game start,,0.16237866299999998,True,False,1.3888888888888888,Error,Error,Error,Error,0.2950544478486436,0.4666666666666667,0.48342087364510655
27,Atlético Madrid,18243,1,2,26,break,Atlético Madrid,1.448130687,True,True,1.6666666666666667,2,3,2.4,0,0.3022867832273636,0.3888888888888889,0.4078137651821862
28,Atlético Madrid,18243,2,2,34,sub,Atlético Madrid,0.5726908799999999,True,False,1.4454545454545455,Error,Error,Error,Error,0.2826452299615683,0.39090909090909093,0.38175295972620865
29,Atlético Madrid,18243,3,4,17,break,Atlético Madrid,0.0,True,False,2.212121212121212,Error,Error,Error,Error,0.26259161933447356,0.18181818181818182,0.16702279202279202
30,Juventus,18242,0,1,45,game start,,0.27992,True,True,1.6181818181818182,2,3,2.4545454545454546,0,0.29110457506343873,0.42727272727272725,0.48671325090695555
31,Juventus,18242,1,2,22,break,Barcelona,0.867820605,True,True,1.709090909090909,2,3,2.727272727272727,0,0.2869640935358251,0.4,0.38824298102372967
32,Juventus,18242,2,2,29,goal,Juventus,0.140568731,True,True,2.1794871794871793,3,5,3.8461538461538463,0,0.24346418388945917,0.2692307692307692,0.3252868291508444
33,Barcelona,18242,0,1,45,game start,,0.805794097,True,True,1.5909090909090908,2,3,2.4545454545454546,2,0.28617915429808494,0.4636363636363636,0.47146622739495847
34,Barcelona,18242,1,2,22,break,Barcelona,0.786639768,True,True,1.6636363636363636,2,3,2.4545454545454546,0,0.289584289187066,0.42727272727272725,0.436407995583614
35,Barcelona,18242,2,2,27,goal,Juventus,0.9412444209999999,True,True,2.0454545454545454,3,4,3.3333333333333335,0,0.2563500972818179,0.26515151515151514,0.29775504964458455
36,Real Madrid,18241,0,1,45,game start,,0.15581047,True,True,1.5727272727272728,2,3,2.727272727272727,0,0.27898252788755984,0.5,0.624494662158277
37,Real Madrid,18241,1,2,20,break,Atlético Madrid,0.26207613399999996,True,True,2.0128205128205128,2,4,3.076923076923077,2,0.2545446075881847,0.26282051282051283,0.25277698456983305
38,Real Madrid,18241,2,2,30,sub,Real Madrid,0.225488292,True,True,1.6818181818181819,2,3,2.6363636363636362,1,0.2859711138364516,0.4,0.4090266541936929
39,Real Madrid,18241,3,3,15,break,Real Madrid,0.073277748,True,True,1.7555555555555555,2,3,2.5,0,0.3049345829620224,0.37777777777777777,0.3882129641722171
40,Real Madrid,18241,4,4,18,break,Atlético Madrid,1.58406045,False,False,Error,Error,Error,Error,Error,0.23765661905997937,0.2,0.20304695304695303
41,Atlético Madrid,18241,0,1,46,game start,,0.39785329999999997,True,False,1.5984848484848484,Error,Error,Error,Error,0.2654111229871978,0.3409090909090909,0.33503741872162923
42,Atlético Madrid,18241,1,2,20,break,Atlético Madrid,0.279003102,True,True,2.0,2,5,3.1,0,0.28616145933128895,0.3,0.3568452380952381
43,Atlético Madrid,18241,2,2,25,sub,Real Madrid,0.053264573,True,False,1.3181818181818181,Error,Error,Error,Error,0.2438619418671212,0.24545454545454545,0.39670142904327144
44,Atlético Madrid,18241,3,3,16,break,Real Madrid,0.0,True,False,1.2333333333333334,Error,Error,Error,Error,0.20439879963168858,0.16666666666666666,0.24444444444444444
45,Atlético Madrid,18241,4,4,18,break,Atlético Madrid,0.22204494600000002,True,False,1.8666666666666667,Error,Error,Error,Error,0.2645111485620057,0.17777777777777778,0.18654761904761905
46,Borussia Dortmund,18240,0,1,45,game start,,0.325770237,True,True,1.5818181818181818,2,3,2.1818181818181817,0,0.29470100689320555,0.44545454545454544,0.4118249145191856
47,Borussia Dortmund,18240,1,2,22,break,Bayern Munich,0.856982736,True,True,1.8636363636363635,2,4,3,4,0.2795332451957176,0.35454545454545455,0.5598466057426386
48,Borussia Dortmund,18240,2,2,26,goal,Bayern Munich,0.159306064,True,True,2.230769230769231,3,4,3.4615384615384617,0,0.25372030449545174,0.21794871794871795,0.27237484737484735
49,Bayern Munich,18240,0,1,45,game start,,0.8886058990000001,True,True,1.5,2,2,2,0,0.2972038538839113,0.5,0.4974272578839897
50,Bayern Munich,18240,1,2,21,break,Bayern Munich,1.199652214,True,True,1.7272727272727273,2,3,2.6363636363636362,1,0.287924581666939,0.38181818181818183,0.38668389212508497
51,Bayern Munich,18240,2,2,27,goal,Bayern Munich,0.914558776,True,False,1.5909090909090908,Error,Error,Error,Error,0.24179220727943282,0.2727272727272727,0.26305714638531974
52,Bayern Munich,18237,0,1,45,game start,,0.936912151,True,True,1.5272727272727273,2,3,2.1818181818181817,0,0.29593596053659377,0.509090909090909,0.5315427447108009
53,Bayern Munich,18237,1,2,27,break,Chelsea,0.516359581,True,True,1.7,2,3,2.6363636363636362,0,0.2848762954770285,0.39090909090909093,0.4699228134410326
54,Bayern Munich,18237,2,2,17,sub,Chelsea,0.545765605,True,False,1.9393939393939394,Error,Error,Error,Error,0.2527184701648088,0.25,0.2609140143719733
55,Bayern Munich,18237,3,3,30,break,Chelsea,1.4399125410000002,True,True,1.871212121212121,2,4,2.6666666666666665,0,0.2676093806780834,0.3181818181818182,0.32739398996077057
56,Chelsea,18237,0,1,46,game start,,0.08311545000000001,True,True,1.5909090909090908,2,3,2.272727272727273,0,0.2911004239404841,0.43636363636363634,0.4193222157764479
57,Chelsea,18237,1,2,27,break,Chelsea,0.032809219,True,True,1.6636363636363636,2,3,2.272727272727273,0,0.29864873398913266,0.39090909090909093,0.40016372516372517
58,Chelsea,18237,2,2,21,sub,Chelsea,0.114109875,True,True,2.053030303030303,2,4,3.1666666666666665,1,0.2608376597616118,0.2803030303030303,0.34508585597981883
59,Chelsea,18237,3,3,30,break,Chelsea,0.047598111,True,True,1.7727272727272727,2,3,2.6363636363636362,0,0.2927918223635603,0.34545454545454546,0.3204145552982762
60,Barcelona,18236,0,1,26,game start,,0.532367383,True,True,1.481818181818182,2,2,2,0,0.29665338060143726,0.5181818181818182,0.48952018727233254
61,Barcelona,18236,1,1,18,goal,Manchester United,0.47364745599999997,True,True,1.7272727272727273,2,4,2.727272727272727,1,0.28453198088431836,0.38181818181818183,0.37960636011578874
62,Barcelona,18236,2,2,22,break,Barcelona,0.708008084,True,True,1.790909090909091,3,3,3,0,0.2792834302516913,0.35454545454545455,0.34857157931402427
63,Barcelona,18236,3,2,25,sub,Manchester United,0.118840473,True,True,1.8516483516483517,2,3,2.857142857142857,0,0.25323270005599097,0.2967032967032967,0.34155008996447267
64,Manchester United,18236,0,1,26,game start,,0.04244132,True,True,1.7272727272727273,2,3,2.727272727272727,0,0.29036722128125747,0.36363636363636365,0.2974387211229316
65,Manchester United,18236,1,1,19,goal,Manchester United,0.29245424,True,False,1.9545454545454546,Error,Error,Error,Error,0.26271685266145167,0.24545454545454545,0.2570822939243992
66,Manchester United,18236,2,2,23,break,Barcelona,0.0,True,True,2.1363636363636362,2,5,3.3636363636363638,2,0.27514766234181065,0.24545454545454545,0.2802142302142302
67,Manchester United,18236,3,2,25,sub,Manchester United,0.10248668799999999,True,True,1.7348484848484849,2,3,2.5,1,0.2724809142245849,0.3560606060606061,0.34490560083466304
68,Bayern Munich,18235,0,1,45,game start,,0.4304467919999999,True,True,1.5272727272727273,2,3,2.272727272727273,0,0.29361078183333794,0.5181818181818182,0.5418043670291499
69,Bayern Munich,18235,1,2,17,break,Inter Milan,0.41900425700000005,True,False,1.7272727272727273,Error,Error,Error,Error,0.2751285586818103,0.2818181818181818,0.31735942420152946
70,Bayern Munich,18235,2,2,31,sub,Bayern Munich,0.474594871,True,True,1.8454545454545455,2,4,2.8181818181818183,2,0.28104638015693834,0.33636363636363636,0.43738929915400504
71,Inter Milan,18235,0,1,46,game start,,0.723685665,True,True,1.7545454545454546,2,3,2.6363636363636362,0,0.27990949871290915,0.36363636363636365,0.44037015585900663
72,Inter Milan,18235,1,2,16,break,Inter Milan,0.191472039,True,True,2.2818181818181817,3,5,3.8181818181818183,2,0.2719738534439607,0.22727272727272727,0.1697900053163211
73,Inter Milan,18235,2,2,31,sub,Bayern Munich,0.25304130199999997,True,False,1.1987179487179487,Error,Error,Error,Error,0.19278579709259652,0.16025641025641027,0.17907610907610907
74,Barcelona,3750201,0,1,46,game start,,0.186639832,True,True,1.5545454545454545,2,3,2.1818181818181817,0,0.2948633176934904,0.4818181818181818,0.48890293399637963
