,Team,MatchID,Split No.,Period,Delta Time,Delta xG,Weakly Connected,Strongly Connected,Average Shortest Path,Radius,Diameter,Eccentricity Mean,Central Node,Average Eigenvector Centrality,Density,Mean Clustering
0,Tottenham Hotspur,22912,0,1,47,0.06963867,True,True,1.5,2,3,2.090909090909091,0,0.2963401689763625,0.509090909090909,0.454451442711761
1,Tottenham Hotspur,22912,1,2,16,0.191625471,True,True,1.7222222222222223,2,3,2.4,1,0.30947327717960693,0.37777777777777777,0.3357181415076152
2,Tottenham Hotspur,22912,2,2,33,0.8538907229999999,True,True,1.7802197802197801,2,3,2.5714285714285716,0,0.25786117134128117,0.32967032967032966,0.38043065811776755
3,Liverpool,22912,0,1,45,0.87634993,True,True,1.5727272727272728,2,3,2.272727272727273,1,0.2892324851820647,0.45454545454545453,0.43352597892626615
4,Liverpool,22912,1,2,16,0.082593026,True,False,1.9111111111111112,Error,Error,Error,Error,0.28871135848813034,0.24444444444444444,0.11654553049289891
5,Liverpool,22912,2,2,33,0.208855491,True,True,1.990909090909091,3,4,3.1818181818181817,0,0.26486849394067197,0.3,0.3753321763454046
6,Real Madrid,18245,0,1,28,0.041484230999999996,True,True,1.6,2,3,2.1818181818181817,0,0.29293843489302235,0.4727272727272727,0.5116573922053375
7,Real Madrid,18245,1,1,18,0.317319365,True,False,1.4545454545454546,Error,Error,Error,Error,0.2680956413444946,0.4090909090909091,0.42740321937118486
8,Real Madrid,18245,2,2,18,0.718574641,True,True,1.643939393939394,2,3,2.4166666666666665,0,0.2786538711402362,0.4166666666666667,0.441247776855392
9,Real Madrid,18245,3,2,29,0.29047990999999995,True,True,1.8636363636363635,2,4,2.8333333333333335,1,0.2738732347590213,0.32575757575757575,0.4619139481789834
10,Liverpool,18245,0,1,29,0.6826986150000001,True,True,1.6727272727272726,2,3,2.5454545454545454,2,0.28746489090537386,0.4090909090909091,0.3909971320962033
11,Liverpool,18245,1,1,15,0.0,True,False,2.0555555555555554,Error,Error,Error,Error,0.28831002611765844,0.2111111111111111,0.17478632478632478
12,Liverpool,18245,2,2,17,0.567224555,True,True,2.590909090909091,3,6,4.454545454545454,6,0.27177075627421554,0.18181818181818182,0.16519265048676812
13,Liverpool,18245,3,2,30,0.064496818,True,True,1.6818181818181819,2,3,2.4166666666666665,0,0.27547940065553017,0.3787878787878788,0.3488830122692352
14,Juventus,18244,0,1,19,0.075956353,True,True,1.7545454545454546,2,3,2.909090909090909,4,0.2766383287854989,0.37272727272727274,0.34389968642939783
15,Juventus,18244,1,1,28,0.133052371,True,True,1.6454545454545455,2,3,2.4545454545454546,0,0.29041747941402973,0.42727272727272725,0.47288006606188426
16,Juventus,18244,2,2,18,0.0,True,True,2.0,3,4,3.272727272727273,0,0.2811703019315572,0.2909090909090909,0.24848192742929584
17,Juventus,18244,3,2,31,0.036131855,True,True,2.141025641025641,2,5,3.4615384615384617,0,0.24617112899470092,0.2692307692307692,0.4301742853231687
18,Real Madrid,18244,0,1,19,0.11433406,True,True,1.690909090909091,2,4,2.8181818181818183,0,0.2870209208525353,0.41818181818181815,0.5030663167583657
19,Real Madrid,18244,1,1,24,0.34220322,True,True,1.7,2,3,2.3636363636363638,0,0.2868985968957937,0.38181818181818183,0.4791442669650999
20,Real Madrid,18244,2,2,18,0.346467832,True,True,1.790909090909091,2,3,2.5454545454545454,1,0.2833307947634703,0.35454545454545455,0.3348023819614729
21,Real Madrid,18244,3,2,29,0.69159945,True,True,1.814102564102564,2,3,2.6153846153846154,0,0.26857619301525903,0.3269230769230769,0.3182524112898796
22,Real Madrid,18243,0,1,45,0.8845719969999999,True,True,1.490909090909091,2,2,2,0,0.2950736294160948,0.509090909090909,0.48721743686330116
23,Real Madrid,18243,1,2,26,0.43021086000000003,True,False,1.643939393939394,Error,Error,Error,Error,0.2618704551105409,0.32575757575757575,0.37871659839797095
24,Real Madrid,18243,2,2,34,0.805906366,True,True,1.6727272727272726,2,3,2.4545454545454546,0,0.2925059952227455,0.4090909090909091,0.4607909485293787
25,Real Madrid,18243,3,4,20,3.995748451,True,False,1.6454545454545455,Error,Error,Error,Error,0.2688343257126017,0.3090909090909091,0.22063075813075814
26,Atlético Madrid,18243,0,1,46,0.16237866299999998,True,True,1.5333333333333334,2,3,2.4,0,0.3015784902512935,0.5111111111111111,0.5792785266109479
27,Atlético Madrid,18243,1,2,26,1.448130687,True,True,1.7444444444444445,2,3,2.7,0,0.29418655788903386,0.37777777777777777,0.4534776498011792
28,Atlético Madrid,18243,2,2,34,0.5726908799999999,True,False,1.481818181818182,Error,Error,Error,Error,0.27885415821042087,0.39090909090909093,0.3721227413371486
29,Atlético Madrid,18243,3,4,20,3.04,True,False,2.2045454545454546,Error,Error,Error,Error,0.259076986766775,0.1893939393939394,0.20355392156862745
