,Team,MatchID,Split No.,Period,Delta Time,Delta xG,Weakly Connected,Strongly Connected,Average Shortest Path,Radius,Diameter,Eccentricity Mean,Central Node,Average Eigenvector Centrality,Density,Mean Clustering
0,Tottenham Hotspur,22912,0,1,47,0.06963867,Error,Error,1.290909090909091,2,2,2,0,0.29797838429663137,0.7090909090909091,0.7113997113997114
1,Tottenham Hotspur,22912,1,2,16,0.191625471,Error,Error,1.3333333333333333,1,2,1.9,0,0.31073069271587067,0.6666666666666666,0.6607142857142857
2,Tottenham Hotspur,22912,2,2,33,0.8538907229999999,Error,Error,1.4725274725274726,2,2,2,0,0.2628803173490695,0.5274725274725275,0.4875850340136054
3,Liverpool,22912,0,1,45,0.87634993,Error,Error,1.3818181818181818,2,2,2,0,0.29541598045247397,0.6181818181818182,0.6112554112554113
4,Liverpool,22912,1,2,16,0.082593026,Error,Error,1.6888888888888889,2,3,2.6,0,0.2990943987962484,0.4222222222222222,0.35333333333333333
5,Liverpool,22912,2,2,33,0.208855491,Error,Error,1.7818181818181817,2,3,2.727272727272727,1,0.2751705059300243,0.36363636363636365,0.40129870129870127
6,Real Madrid,18245,0,1,28,0.041484230999999996,Error,Error,1.2181818181818183,2,2,2,0,0.3004636044470566,0.7818181818181819,0.7507215007215007
7,Real Madrid,18245,1,1,18,0.317319365,Error,Error,1.393939393939394,2,2,2,0,0.27792872389574974,0.6060606060606061,0.6062169312169312
8,Real Madrid,18245,2,2,18,0.718574641,Error,Error,1.3333333333333333,2,2,2,0,0.2823511758151073,0.6666666666666666,0.7215608465608465
9,Real Madrid,18245,3,2,29,0.29047990999999995,Error,Error,1.4545454545454546,2,3,2.1666666666666665,0,0.27283302301920614,0.5606060606060606,0.716468253968254
10,Liverpool,18245,0,1,29,0.6826986150000001,Error,Error,1.3272727272727274,2,2,2,0,0.2971890413481382,0.6727272727272727,0.6487012987012987
11,Liverpool,18245,1,1,15,0.0,Error,Error,Error,Error,Error,Error,Error,0.2859296398143668,0.3333333333333333,0.24
12,Liverpool,18245,2,2,17,0.567224555,Error,Error,1.9090909090909092,2,4,3,0,0.27685508178795976,0.32727272727272727,0.15151515151515152
13,Liverpool,18245,3,2,30,0.064496818,Error,Error,1.5,2,3,2.1666666666666665,0,0.28240850541847207,0.5151515151515151,0.42658730158730157
14,Juventus,18244,0,1,19,0.075956353,Error,Error,1.4363636363636363,2,2,2,0,0.2940210284781071,0.5636363636363636,0.6516594516594517
15,Juventus,18244,1,1,28,0.133052371,Error,Error,1.3636363636363635,2,2,2,0,0.2916634796939096,0.6363636363636364,0.7797258297258297
16,Juventus,18244,2,2,18,0.0,Error,Error,1.4727272727272727,2,2,2,0,0.29056376302036496,0.5272727272727272,0.645021645021645
17,Juventus,18244,3,2,31,0.036131855,Error,Error,1.6025641025641026,2,3,2.3076923076923075,0,0.256593926063632,0.44871794871794873,0.4915140415140415
18,Real Madrid,18244,0,1,19,0.11433406,Error,Error,1.4,2,3,2.1818181818181817,0,0.2930514328568442,0.6181818181818182,0.6727272727272727
19,Real Madrid,18244,1,1,24,0.34220322,Error,Error,1.490909090909091,2,3,2.272727272727273,0,0.2923135119964321,0.5454545454545454,0.43333333333333335
20,Real Madrid,18244,2,2,18,0.346467832,Error,Error,1.5272727272727273,2,3,2.272727272727273,0,0.28758799974650723,0.509090909090909,0.5021645021645021
21,Real Madrid,18244,3,2,29,0.69159945,Error,Error,1.435897435897436,2,2,2,0,0.26642398717776244,0.5641025641025641,0.6666666666666666
22,Real Madrid,18243,0,1,45,0.8845719969999999,Error,Error,1.309090909090909,2,2,2,0,0.29946588632836385,0.6909090909090909,0.645021645021645
23,Real Madrid,18243,1,2,26,0.43021086000000003,Error,Error,1.7121212121212122,2,4,2.8333333333333335,1,0.2727156701022385,0.4090909090909091,0.42698412698412697
24,Real Madrid,18243,2,2,34,0.805906366,Error,Error,1.3818181818181818,2,2,2,0,0.2941539471233195,0.6181818181818182,0.6613275613275613
25,Real Madrid,18243,3,4,20,3.995748451,Error,Error,1.7272727272727273,2,4,2.909090909090909,0,0.28775723795782426,0.41818181818181815,0.40606060606060607
26,Atlético Madrid,18243,0,1,46,0.16237866299999998,Error,Error,1.2222222222222223,1,2,1.9,7,0.312106699441314,0.7777777777777778,0.7955555555555556
27,Atlético Madrid,18243,1,2,26,1.448130687,Error,Error,1.3777777777777778,2,2,2,0,0.3118628422697103,0.6222222222222222,0.6326190476190476
28,Atlético Madrid,18243,2,2,34,0.5726908799999999,Error,Error,1.4727272727272727,2,3,2.1818181818181817,0,0.292111948101387,0.5454545454545454,0.6476190476190475
29,Atlético Madrid,18243,3,4,20,3.04,Error,Error,1.878787878787879,2,4,3,0,0.2610073133771941,0.3181818181818182,0.2986111111111111
30,Juventus,18242,0,1,45,0.27992,Error,Error,1.4181818181818182,2,2,2,0,0.2963474394759761,0.5818181818181818,0.5909090909090909
31,Juventus,18242,1,2,22,0.867820605,Error,Error,1.3454545454545455,1,2,1.9090909090909092,0,0.2924145507032903,0.6545454545454545,0.7475468975468975
32,Juventus,18242,2,2,29,0.140568731,Error,Error,1.6153846153846154,2,3,2.5384615384615383,0,0.259415849408802,0.44871794871794873,0.45805860805860804
33,Barcelona,18242,0,1,45,0.805794097,Error,Error,1.1818181818181819,1,2,1.7272727272727273,0,0.2987218852032157,0.8181818181818182,0.8471139971139972
34,Barcelona,18242,1,2,22,0.786639768,Error,Error,1.4,2,3,2.1818181818181817,0,0.29365319485628927,0.6181818181818182,0.7012987012987013
35,Barcelona,18242,2,2,27,0.9412444209999999,Error,Error,1.7272727272727273,2,3,2.6666666666666665,0,0.26795309764056896,0.4090909090909091,0.4859126984126984
36,Real Madrid,18241,0,1,45,0.15581047,Error,Error,1.290909090909091,2,2,2,0,0.2962375376352679,0.7090909090909091,0.6791486291486292
37,Real Madrid,18241,1,2,20,0.26207613399999996,Error,Error,1.6025641025641026,2,3,2.3846153846153846,0,0.2591772457461945,0.4358974358974359,0.5393772893772893
38,Real Madrid,18241,2,2,30,0.225488292,Error,Error,1.4545454545454546,2,2,2,0,0.2951266228188903,0.5454545454545454,0.48506493506493503
39,Real Madrid,18241,3,3,15,0.073277748,Error,Error,1.4444444444444444,2,3,2.2,0,0.3068549495885312,0.5777777777777777,0.5595238095238095
40,Real Madrid,18241,4,4,18,1.58406045,Error,Error,1.7272727272727273,2,3,2.727272727272727,0,0.28500891024416375,0.4,0.39090909090909093
41,Atlético Madrid,18241,0,1,46,0.39785329999999997,Error,Error,1.606060606060606,2,3,2.5,0,0.2694171827240078,0.4696969696969697,0.5238095238095238
42,Atlético Madrid,18241,1,2,20,0.279003102,Error,Error,1.488888888888889,2,2,2,0,0.3102240637496194,0.5111111111111111,0.47000000000000003
43,Atlético Madrid,18241,2,2,25,0.053264573,Error,Error,1.690909090909091,2,3,2.5454545454545454,0,0.2798800113227677,0.41818181818181815,0.49177489177489175
44,Atlético Madrid,18241,3,3,16,0.0,Error,Error,2.2,3,5,3.9,0,0.2826766238402453,0.3111111111111111,0.3333333333333333
45,Atlético Madrid,18241,4,4,18,0.22204494600000002,Error,Error,Error,Error,Error,Error,Error,0.27333279834673313,0.24444444444444444,0.23333333333333334
46,Borussia Dortmund,18240,0,1,45,0.325770237,Error,Error,1.3636363636363635,2,2,2,0,0.2983972678214935,0.6363636363636364,0.5556277056277056
47,Borussia Dortmund,18240,1,2,22,0.856982736,Error,Error,1.5272727272727273,2,3,2.3636363636363638,0,0.28740616500096366,0.509090909090909,0.593939393939394
48,Borussia Dortmund,18240,2,2,26,0.159306064,Error,Error,1.8333333333333333,2,3,2.8461538461538463,1,0.2573027387157464,0.3333333333333333,0.2347985347985348
49,Bayern Munich,18240,0,1,45,0.8886058990000001,Error,Error,1.1818181818181819,1,2,1.9090909090909092,4,0.29992657359994696,0.8181818181818182,0.8247474747474748
50,Bayern Munich,18240,1,2,21,1.199652214,Error,Error,1.4727272727272727,2,3,2.1818181818181817,0,0.2946141842521926,0.5454545454545454,0.42857142857142855
51,Bayern Munich,18240,2,2,27,0.914558776,Error,Error,1.7121212121212122,2,4,2.75,0,0.26570543624391163,0.42424242424242425,0.5414682539682539
52,Bayern Munich,18237,0,1,45,0.936912151,Error,Error,1.2363636363636363,2,2,2,0,0.29867895287533136,0.7636363636363637,0.7515151515151515
53,Bayern Munich,18237,1,2,27,0.516359581,Error,Error,1.4181818181818182,2,2,2,0,0.2903337415720169,0.5818181818181818,0.7054112554112554
54,Bayern Munich,18237,2,2,17,0.545765605,Error,Error,1.8484848484848484,2,3,2.8333333333333335,1,0.2596538132231607,0.3484848484848485,0.35555555555555557
55,Bayern Munich,18237,3,3,37,5.239912541,Error,Error,1.5454545454545454,2,3,2.3333333333333335,0,0.27298898864722787,0.5,0.6693783068783069
56,Chelsea,18237,0,1,46,0.08311545000000001,Error,Error,1.2727272727272727,2,2,2,0,0.29918411351253954,0.7272727272727273,0.7127705627705627
57,Chelsea,18237,1,2,27,0.032809219,Error,Error,1.3636363636363635,2,2,2,0,0.295821704694927,0.6363636363636364,0.6554834054834054
58,Chelsea,18237,2,2,21,0.114109875,Error,Error,1.6666666666666667,2,3,2.6666666666666665,1,0.27321985162001766,0.42424242424242425,0.4103174603174603
59,Chelsea,18237,3,3,37,3.847598111,Error,Error,1.3636363636363635,2,2,2,0,0.29359663139051134,0.6363636363636364,0.674025974025974
60,Barcelona,18236,0,1,26,0.532367383,Error,Error,1.290909090909091,2,2,2,0,0.29733858442958305,0.7090909090909091,0.6998556998556998
61,Barcelona,18236,1,1,18,0.47364745599999997,Error,Error,1.3454545454545455,2,2,2,0,0.29198018161607425,0.6545454545454545,0.6725108225108225
62,Barcelona,18236,2,2,22,0.708008084,Error,Error,1.490909090909091,2,3,2.1818181818181817,0,0.28864015653759895,0.5272727272727272,0.6344155844155844
63,Barcelona,18236,3,2,25,0.118840473,Error,Error,1.5604395604395604,2,3,2.2142857142857144,0,0.2587599128331427,0.46153846153846156,0.49982993197278913
64,Manchester United,18236,0,1,26,0.04244132,Error,Error,1.3272727272727274,1,2,1.9090909090909092,1,0.2964491487209558,0.6727272727272727,0.7242424242424242
65,Manchester United,18236,1,1,19,0.29245424,Error,Error,1.6727272727272726,2,3,2.4545454545454546,0,0.2879485649035981,0.41818181818181815,0.3956709956709957
66,Manchester United,18236,2,2,23,0.0,Error,Error,Error,Error,Error,Error,Error,0.2737941557196301,0.38181818181818183,0.4329004329004329
67,Manchester United,18236,3,2,25,0.10248668799999999,Error,Error,1.3333333333333333,2,2,2,0,0.2824490611346829,0.6666666666666666,0.6691137566137566
68,Bayern Munich,18235,0,1,45,0.4304467919999999,Error,Error,1.2363636363636363,1,2,1.9090909090909092,1,0.2982455959212771,0.7636363636363637,0.7490620490620491
69,Bayern Munich,18235,1,2,17,0.41900425700000005,Error,Error,1.509090909090909,2,2,2,0,0.2896788785082584,0.4909090909090909,0.6338383838383839
70,Bayern Munich,18235,2,2,31,0.474594871,Error,Error,1.5272727272727273,2,3,2.3636363636363638,0,0.2793723309066886,0.5272727272727272,0.5925685425685425
71,Inter Milan,18235,0,1,46,0.723685665,Error,Error,1.4181818181818182,2,2,2,0,0.2978219200493941,0.5818181818181818,0.5077922077922078
72,Inter Milan,18235,1,2,16,0.191472039,Error,Error,1.8727272727272728,2,3,2.909090909090909,0,0.2877816032791471,0.3090909090909091,0.19999999999999998
73,Inter Milan,18235,2,2,31,0.25304130199999997,Error,Error,1.9615384615384615,2,4,3.076923076923077,0,0.24325062413770107,0.32051282051282054,0.31648351648351647
74,Barcelona,3750201,0,1,46,0.186639832,Error,Error,1.309090909090909,2,2,2,0,0.2964714681729989,0.6909090909090909,0.7246031746031746
75,Barcelona,3750201,1,2,20,0.307922275,Error,Error,1.3454545454545455,1,2,1.9090909090909092,2,0.2939451746680503,0.6545454545454545,0.7025252525252526
76,Barcelona,3750201,2,2,27,0.796873438,Error,Error,1.4727272727272727,2,3,2.1818181818181817,0,0.2876433830838923,0.5454545454545454,0.7489177489177489
77,Manchester United,3750201,0,1,45,0.41044105799999997,Error,Error,1.290909090909091,1,2,1.9090909090909092,1,0.2972333146298052,0.7090909090909091,0.7413419913419913
78,Manchester United,3750201,1,2,20,0.0,Error,Error,1.4363636363636363,2,3,2.1818181818181817,0,0.2969397467536452,0.5818181818181818,0.6060606060606061
79,Manchester United,3750201,2,2,28,0.621461286,Error,Error,1.5,2,2,2,0,0.27886257640298356,0.5,0.42777777777777776
80,AC Milan,3750200,0,1,46,0.36607321600000003,Error,Error,1.3454545454545455,2,2,2,0,0.2944782364869091,0.6545454545454545,0.7248196248196248
81,AC Milan,3750200,1,2,47,0.49064317700000004,Error,Error,1.4743589743589745,2,2,2,0,0.27081035933911846,0.5256410256410257,0.4805860805860806
82,Liverpool,3750200,0,1,45,0.29256782,Error,Error,1.3272727272727274,2,2,2,0,0.29529250728357453,0.6727272727272727,0.7145743145743145
83,Liverpool,3750200,1,2,47,0.6657027645,Error,Error,1.4505494505494505,2,2,2,0,0.25851795010995876,0.5494505494505495,0.5286281179138322
84,AC Milan,2302764,0,1,22,0.199345688,Error,Error,1.488888888888889,2,3,2.2,0,0.3014354954013719,0.5333333333333333,0.6766666666666666
