,Team,MatchID,Split No.,Period,Delta Time,Delta xG,Weakly Connected,Strongly Connected,Average Shortest Path,Radius,Diameter,Eccentricity Mean,Central Node,Average Eigenvector Centrality,Density,Mean Clustering
0,Tottenham Hotspur,22912,0,1,47,0.06963867,Error,Error,1.2181818181818183,1,2,1.9090909090909092,Harry Winks,0.29905912127513445,0.7818181818181819,0.8049783549783551
1,Tottenham Hotspur,22912,1,2,16,0.191625471,Error,Error,1.3111111111111111,2,2,2,Bamidele Alli,0.3118687451485522,0.6888888888888889,0.7159523809523808
2,Tottenham Hotspur,22912,2,2,33,0.8538907229999999,Error,Error,1.4285714285714286,2,3,2.142857142857143,Bamidele Alli,0.25895377059035013,0.5824175824175825,0.6623118944547516
3,Liverpool,22912,0,1,45,0.87634993,Error,Error,1.2545454545454546,1,2,1.9090909090909092,Sadio Mané,0.29790688674694704,0.7454545454545455,0.7691919191919193
4,Liverpool,22912,1,2,16,0.082593026,Error,Error,1.6444444444444444,2,3,2.4,Trent Alexander-Arnold,0.29930870834147555,0.4222222222222222,0.23666666666666666
5,Liverpool,22912,2,2,33,0.208855491,Error,Error,1.4363636363636363,2,3,2.1818181818181817,Andrew Robertson,0.2886770809625444,0.5818181818181818,0.5961760461760461
6,Real Madrid,18245,0,1,28,0.041484230999999996,Error,Error,1.1818181818181819,1,2,1.9090909090909092,Toni Kroos,0.29963501080571964,0.8181818181818182,0.8204184704184704
7,Real Madrid,18245,1,1,18,0.317319365,Error,Error,1.2878787878787878,2,2,2,Carlos Henrique Casimiro,0.28025816373382084,0.7121212121212122,0.7834656084656083
8,Real Madrid,18245,2,2,18,0.718574641,Error,Error,1.2878787878787878,1,2,1.9166666666666667,Luka Modrić,0.28175185864526997,0.7121212121212122,0.8012385762385762
9,Real Madrid,18245,3,2,29,0.29047990999999995,Error,Error,1.393939393939394,2,2,2,Carlos Henrique Casimiro,0.2762112393594217,0.6060606060606061,0.7608465608465608
10,Liverpool,18245,0,1,29,0.6826986150000001,Error,Error,1.290909090909091,2,2,2,Andrew Robertson,0.2959924203201271,0.7090909090909091,0.749062049062049
11,Liverpool,18245,1,1,15,0.0,Error,Error,1.8,2,3,2.6,Andrew Robertson,0.29412262133186506,0.37777777777777777,0.41000000000000003
