,Team,MatchID,Split No.,Period,Delta Time,Delta xG,Weakly Connected,Strongly Connected,Average Shortest Path,Radius,Diameter,Eccentricity Mean,Central Node,Average Eigenvector Centrality,Density,Mean Clustering
0,Tottenham Hotspur,22912,0,1,47,0.06963867,True,True,1.3181818181818181,2,2,2,Bamidele Alli,0.29696500025250894,0.6818181818181818,0.7371655771219028
1,Tottenham Hotspur,22912,1,2,12,0.168828291,True,True,1.7777777777777777,2,4,2.6,Christian Dannemann Eriksen,0.299592375232649,0.3888888888888889,0.495343049107755
2,Tottenham Hotspur,22912,2,2,15,0.10346653,True,True,1.7651515151515151,2,4,2.9166666666666665,Christian Dannemann Eriksen,0.27066311829059475,0.3712121212121212,0.36420580422738635
3,Tottenham Hotspur,22912,3,2,22,0.7732213729999999,True,True,1.75,2,4,2.5,Danny Rose,0.27998999495307914,0.3939393939393939,0.3870285772895996
4,Liverpool,22912,0,1,45,0.87634993,True,True,1.4181818181818182,2,2,2,Alisson Ramsés Becker,0.28847847247970365,0.5818181818181818,0.585327014858543
5,Liverpool,22912,1,2,12,0.082593026,True,False,1.3111111111111111,Error,Error,Error,Error,0.25244713145414827,0.24444444444444444,0.16963492063492064
6,Liverpool,22912,2,2,15,0.050377708,True,True,2.390909090909091,3,6,3.8181818181818183,Alisson Ramsés Becker,0.2769152307524661,0.2727272727272727,0.2466108452950558
7,Liverpool,22912,3,2,22,0.15847778299999998,True,False,0.41818181818181815,Error,Error,Error,Error,0.17429170474688926,0.19090909090909092,0.26766790714159133
8,Real Madrid,18245,0,1,28,0.041484230999999996,True,True,1.3636363636363635,1,2,1.9090909090909092,Toni Kroos,0.2979860404661552,0.6363636363636364,0.6396527727343249
9,Real Madrid,18245,1,1,18,0.317319365,True,False,1.2954545454545454,Error,Error,Error,Error,0.26961581080068975,0.5378787878787878,0.6339642491220564
10,Real Madrid,18245,2,2,15,0.695969335,True,True,1.4727272727272727,2,3,2.090909090909091,Carlos Henrique Casimiro,0.28939538189720526,0.5363636363636364,0.5691142406600003
11,Real Madrid,18245,3,2,32,0.31308521599999994,True,True,1.5606060606060606,2,3,2.5,Cristiano Ronaldo dos Santos Aveiro,0.27048081928037054,0.5,0.667614736160901
12,Liverpool,18245,0,1,29,0.6826986150000001,True,True,1.4181818181818182,2,3,2.090909090909091,Andrew Robertson,0.2909350674527154,0.5909090909090909,0.6619224842287847
13,Liverpool,18245,1,1,15,0.0,True,False,2.033333333333333,Error,Error,Error,Error,0.2860895758578438,0.23333333333333334,0.22333333333333333
14,Liverpool,18245,2,2,15,0.567224555,True,False,2.381818181818182,Error,Error,Error,Error,0.24692607724198823,0.17272727272727273,0.2236842105263158
15,Liverpool,18245,3,2,32,0.064496818,True,True,1.553030303030303,2,3,2.1666666666666665,Adam David Lallana,0.2728180434144324,0.4621212121212121,0.5693155383847486
16,Juventus,18244,0,1,19,0.075956353,True,True,1.5545454545454545,2,3,2.5454545454545454,Mario Mandžukić,0.2795867781772741,0.509090909090909,0.5872141060968313
17,Juventus,18244,1,1,28,0.133052371,True,True,1.5454545454545454,2,4,2.272727272727273,Alex Sandro Lobo Silva,0.29009323760320666,0.5272727272727272,0.6080507698599441
18,Juventus,18244,2,2,15,0.0,True,True,1.9,2,4,3.090909090909091,Giorgio Chiellini,0.2822372283436771,0.33636363636363636,0.2943813496445075
19,Juventus,18244,3,2,15,0.0,True,False,2.053030303030303,Error,Error,Error,Error,0.2491393113650781,0.21212121212121213,0.24190873725757447
20,Juventus,18244,4,2,17,0.036131855,True,True,1.5694444444444444,2,3,2.3333333333333335,Alex Sandro Lobo Silva,0.31117511954067933,0.5,0.6361714074252774
21,Real Madrid,18244,0,1,19,0.11433406,True,True,1.4636363636363636,2,3,2.3636363636363638,Carlos Henrique Casimiro,0.2882291089747246,0.5727272727272728,0.656694072686771
22,Real Madrid,18244,1,1,24,0.34220322,True,True,1.5363636363636364,2,3,2.3636363636363638,Carlos Henrique Casimiro,0.2860822362152347,0.5363636363636364,0.6458302733553519
23,Real Madrid,18244,2,2,15,0.195422402,True,True,1.6363636363636365,2,3,2.4545454545454546,Carlos Henrique Casimiro,0.27909966588315105,0.44545454545454544,0.6456482559665241
24,Real Madrid,18244,3,2,16,0.380737047,True,False,1.4272727272727272,Error,Error,Error,Error,0.2760035051034415,0.41818181818181815,0.5588344080291799
25,Real Madrid,18244,4,2,17,0.46190783300000005,True,True,1.8181818181818181,2,4,2.909090909090909,Carlos Henrique Casimiro,0.27905792172744287,0.38181818181818183,0.39695495094841576
26,Real Madrid,18243,0,1,14,0.8557240749999999,True,True,1.6181818181818182,2,4,2.6363636363636362,Carlos Henrique Casimiro,0.2870091291176003,0.4636363636363636,0.43403106814921893
27,Real Madrid,18243,1,1,30,0.028847922,True,True,1.3454545454545455,2,2,2,Carlos Henrique Casimiro,0.29448234303308135,0.6545454545454545,0.674945335211864
28,Real Madrid,18243,2,2,26,0.43021086000000003,True,False,1.5757575757575757,Error,Error,Error,Error,0.2580788080148915,0.38636363636363635,0.4344959379159496
29,Real Madrid,18243,3,2,19,0.609618341,True,True,1.690909090909091,2,3,2.5454545454545454,Cristiano Ronaldo dos Santos Aveiro,0.2837720868062487,0.41818181818181815,0.5732860416156106
30,Real Madrid,18243,4,3,15,0.196288025,True,True,1.8181818181818181,2,4,2.8181818181818183,Carlos Henrique Casimiro,0.2718599299417489,0.36363636363636365,0.42351304612889457
31,Real Madrid,18243,5,4,20,3.995748451,True,False,1.5818181818181818,Error,Error,Error,Error,0.2632241421727617,0.36363636363636365,0.47084414722995654
32,Atlético Madrid,18243,0,1,13,0.05091729,True,False,1.8444444444444446,Error,Error,Error,Error,0.2600860399159377,0.2111111111111111,0.04871794871794872
33,Atlético Madrid,18243,1,1,32,0.111461373,True,True,1.288888888888889,2,3,2.2,Augusto Matías Fernández,0.30207727496481657,0.7333333333333333,0.7967088319380042
34,Atlético Madrid,18243,2,2,26,1.448130687,True,True,1.6333333333333333,2,4,2.7,Diego Roberto Godín Leal,0.27227386516434054,0.5111111111111111,0.5397584363770322
