,Team,MatchID,Split No.,Delta Time,Weakly Connected,Strongly Connected,Average Shortest Path,Radius,Diameter,Eccentricity Mean,Central Node,Average Eigenvector Centrality,Density,Mean Clustering
0,Tottenham Hotspur,22912,0,44,Error,Error,1.3181818181818181,2,2,2,Bamidele Alli,0.29696500025250894,0.6818181818181818,0.7371655771219028
1,Tottenham Hotspur,22912,1,12,Error,Error,1.7777777777777777,2,4,2.6,Christian Dannemann Eriksen,0.299592375232649,0.3888888888888889,0.495343049107755
2,Tottenham Hotspur,22912,2,14,Error,Error,1.7651515151515151,2,4,2.9166666666666665,Christian Dannemann Eriksen,0.27066311829059475,0.3712121212121212,0.36420580422738635
3,Tottenham Hotspur,22912,3,7,Error,Error,1.8454545454545455,2,4,2.8181818181818183,Hugo Lloris,0.27781093969055554,0.33636363636363636,0.25919708946024733
4,Tottenham Hotspur,22912,4,12,Error,Error,2.433333333333333,3,5,3.9,Kieran Trippier,0.3016415372726863,0.26666666666666666,0.30495014245014246
5,Liverpool,22912,0,46,Error,Error,1.4181818181818182,2,2,2,Alisson Ramsés Becker,0.28847847247970365,0.5818181818181818,0.585327014858543
6,Liverpool,22912,1,11,Error,Error,1.3111111111111111,Error,Error,Error,Error,0.25244713145414827,0.24444444444444444,0.16963492063492064
7,Liverpool,22912,2,13,Error,Error,2.390909090909091,3,6,3.8181818181818183,Alisson Ramsés Becker,0.2769152307524661,0.2727272727272727,0.2466108452950558
8,Liverpool,22912,3,7,Error,Error,0.6,Error,Error,Error,Error,0.33926406698655737,0.4,0.46166666666666667
9,Liverpool,22912,4,9,Error,Error,0.42857142857142855,Error,Error,Error,Error,0.1767775569680636,0.16071428571428573,0.12946428571428573
10,Real Madrid,18245,0,26,Error,Error,1.3636363636363635,1,2,1.9090909090909092,Toni Kroos,0.2979860404661552,0.6363636363636364,0.6396527727343249
11,Real Madrid,18245,1,3,Error,Error,1.5818181818181818,Error,Error,Error,Error,0.2757229965285437,0.34545454545454546,0.386131258770555
12,Real Madrid,18245,2,11,Error,Error,1.3636363636363635,Error,Error,Error,Error,0.27817635681561964,0.4727272727272727,0.522960171260552
13,Real Madrid,18245,3,14,Error,Error,1.4727272727272727,2,3,2.090909090909091,Carlos Henrique Casimiro,0.28939538189720526,0.5363636363636364,0.5691142406600003
14,Real Madrid,18245,4,20,Error,Error,1.518181818181818,2,3,2.3636363636363638,Cristiano Ronaldo dos Santos Aveiro,0.28478612462165087,0.5272727272727272,0.6504606526567542
15,Real Madrid,18245,5,10,Error,Error,2.2181818181818183,3,5,3.5454545454545454,Marcelo Vieira da Silva Júnior,0.2823718430304188,0.2545454545454545,0.3268910827734357
16,Liverpool,18245,0,26,Error,Error,1.4181818181818182,2,3,2.090909090909091,Andrew Robertson,0.2909350674527154,0.5909090909090909,0.6619224842287847
17,Liverpool,18245,1,0,Error,Error,0.8333333333333334,Error,Error,Error,Error,Error,0.25,0
18,Liverpool,18245,2,11,Error,Error,2.3194444444444446,2,5,3.5555555555555554,Loris Karius,0.31914109083435105,0.2638888888888889,0.25105820105820104
19,Liverpool,18245,3,9,Error,Error,2.381818181818182,Error,Error,Error,Error,0.24692607724198823,0.17272727272727273,0.2236842105263158
20,Liverpool,18245,4,20,Error,Error,1.6818181818181819,2,4,2.8181818181818183,James Philip Milner,0.2795167233691828,0.41818181818181815,0.532221538497436
21,Liverpool,18245,5,8,Error,Error,2.1,3,4,3.5,Adam David Lallana,0.29072374836305365,0.26666666666666666,0.4075152625152625
