,Team,MatchID,Split No.,Period,Delta Time,Delta xG,Weakly Connected,Strongly Connected,Average Shortest Path,Radius,Diameter,Eccentricity Mean,Central Node,Average Eigenvector Centrality,Density,Mean Clustering
0,Tottenham Hotspur,22912,0,1,47,0.06963867,True,True,1.5272727272727273,2,3,2.090909090909091,0,0.29516461701723945,0.4818181818181818,0.5011932695869947
1,Tottenham Hotspur,22912,1,2,12,0.168828291,True,True,1.9555555555555555,3,4,3.2,0,0.297317880574507,0.3111111111111111,0.2526265664160401
2,Tottenham Hotspur,22912,2,2,15,0.10346653,True,True,1.946969696969697,2,4,3.0833333333333335,4,0.27289751983972244,0.29545454545454547,0.28332378405907815
3,Tottenham Hotspur,22912,3,2,22,0.7732213729999999,True,True,2.053030303030303,2,4,3.25,1,0.2763063363799559,0.2727272727272727,0.2937145843492593
4,Liverpool,22912,0,1,45,0.87634993,True,True,1.5909090909090908,2,3,2.272727272727273,0,0.2909788351567828,0.44545454545454544,0.42179946281799285
5,Liverpool,22912,1,2,12,0.082593026,True,False,1.5666666666666667,Error,Error,Error,Error,0.24751397104342596,0.2,0.19923976608187133
6,Liverpool,22912,2,2,15,0.050377708,True,False,1.7545454545454546,Error,Error,Error,Error,0.28787259063368287,0.2,0.3242424242424242
7,Liverpool,22912,3,2,22,0.15847778299999998,True,False,1.481818181818182,Error,Error,Error,Error,0.22655024028039422,0.15454545454545454,0.21724386724386724
8,Real Madrid,18245,0,1,28,0.041484230999999996,True,True,1.5636363636363637,2,3,2.090909090909091,0,0.2916092401483287,0.44545454545454544,0.4089275153216205
9,Real Madrid,18245,1,1,18,0.317319365,True,False,1.5227272727272727,Error,Error,Error,Error,0.2653948487654557,0.3787878787878788,0.4458601704979998
10,Real Madrid,18245,2,2,15,0.695969335,True,True,1.6272727272727272,2,3,2.272727272727273,0,0.2941931432091968,0.41818181818181815,0.4719151836376717
11,Real Madrid,18245,3,2,32,0.31308521599999994,True,True,1.803030303030303,2,4,2.75,0,0.275975964724123,0.3560606060606061,0.39890504829230317
12,Liverpool,18245,0,1,29,0.6826986150000001,True,True,1.5727272727272728,2,3,2.272727272727273,0,0.2923059724149113,0.4636363636363636,0.4453588793287168
13,Liverpool,18245,1,1,15,0.0,True,False,2.088888888888889,Error,Error,Error,Error,0.27268651168903213,0.2222222222222222,0.12188034188034189
14,Liverpool,18245,2,2,15,0.567224555,True,False,2.1363636363636362,Error,Error,Error,Error,0.24914722452098562,0.15454545454545454,0.18434343434343434
15,Liverpool,18245,3,2,32,0.064496818,True,True,1.7196969696969697,2,3,2.4166666666666665,2,0.2723428148951335,0.3560606060606061,0.3233614455260182
16,Juventus,18244,0,1,19,0.075956353,True,True,1.7181818181818183,2,3,2.8181818181818183,5,0.2814641661218502,0.4,0.4070728073899321
17,Juventus,18244,1,1,28,0.133052371,True,True,1.6363636363636365,2,3,2.272727272727273,0,0.2911130945772407,0.42727272727272725,0.4833945352413205
18,Juventus,18244,2,2,15,0.0,True,True,2.1363636363636362,3,4,3.4545454545454546,0,0.2712817137814678,0.2545454545454545,0.17286435786435786
